doc_id,event_type,event_date_iso,date_is_approximate,country,admin1_or_state,city_or_local,geo_precision,actors,outcome_summary,extraction_confidence,raw_text,local_model_raw_output,parse_ok,parse_error,evidence_json,uncertainty_flags_json,flag_low_confidence,flag_missing_date,flag_no_actors,flag_no_event_type,needs_human_review,human_is_correct,human_correct_event_type,human_correct_date_iso,human_correct_location,failure_mode,reviewer_notes
doc_001,other,,FALSE,,,,unknown,[],,0,Breaking: Thousands rallied in Santiago on 2026-03-14 demanding pension reform. Police reported minor clashes; 12 were arrested.,,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,Y,protest,3/14/2026,Santiago,parse failure,
doc_002,other,,FALSE,,,,unknown,[],,0,"On March 2nd, lawmakers passed the 'Clean Air Act' amendment in the national assembly. Environmental groups praised the vote.",,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,Y,policy_change,3/2/xxxx,United States,parse failure,
doc_003,other,,FALSE,,,,unknown,[],,0,Election officials said voting will take place next Sunday. Turnout is expected to be high in the capital.,election officials said voting will take place next Sunday.,FALSE,"1 validation error for EventExtraction
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='election officials said ...take place next Sunday.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,Y,election,NA,Unknown,parse failure,
doc_004,other,,FALSE,,,,unknown,[],,0,"A 6.2 magnitude earthquake struck near the coastal city overnight, damaging dozens of homes and cutting power to 40,000 residents.",6.2,FALSE,"1 validation error for EventExtraction
  Input should be an object [type=model_type, input_value=6.2, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,Y,disaster,NA,Unknown,parse failure,
doc_005,other,,FALSE,,,,unknown,[],,0,"Witnesses described gunfire outside a nightclub late Friday; at least two people were injured, but details remain unclear.",,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,Y,violence,NA,Unknown,parse failure,
doc_006,other,,FALSE,,,,unknown,[],,0,The governor announced a new curfew order effective immediately. Critics called it an overreach.,,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_007,other,,FALSE,,,,unknown,[],,0,Early April saw renewed demonstrations in the northern province after fuel prices rose again.,,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_008,other,,FALSE,,,,unknown,[],,0,"Floodwaters inundated low-lying neighborhoods; emergency shelters opened at local schools, officials said.","floodwaters inundated low-lying neighborhoods; emergency shelters opened at local schools, officials said.",FALSE,"1 validation error for EventExtraction
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value='floodwaters inundated lo...chools, officials said.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_009,other,,FALSE,,,,unknown,[],,0,Opposition leaders met with international observers in Brussels to discuss election monitoring.,,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_010,other,,FALSE,,,,unknown,[],,0,Police said the suspect was arrested after a stabbing in downtown; the mayor urged calm.,police said the suspect was arrested after a stabbing in downtown; the mayor urged calm.,FALSE,"1 validation error for EventExtraction
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='police said the suspect ...; the mayor urged calm.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_011,other,,FALSE,,,,unknown,[],,0,"Parliament reversed the prior ban on rideshare apps, citing labor market flexibility.",                                                                                                                               ,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 127 [type=json_invalid, input_value='                        ...                       ', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_012,other,,FALSE,,,,unknown,[],,0,"A protest was planned for tomorrow, but organizers postponed it due to severe weather warnings.","event_type: protest, election, policy_change, violence, disaster, other",FALSE,"1 validation error for EventExtraction
  Invalid JSON: expected value at line 1 column 1 [type=json_invalid, input_value='event_type: protest, ele...olence, disaster, other', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_013,other,,FALSE,,,,unknown,[],,0,"Following a landslide, the ministry declared a state of emergency in two districts.",,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_014,other,,FALSE,,,,unknown,[],,0,The court ruling sparked demonstrations across the city center; human rights groups condemned the decision.,,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
doc_015,other,,FALSE,,,,unknown,[],,0,The article mentions reforms and elections in passing but gives no clear time or place.,,FALSE,"1 validation error for EventExtraction
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value='', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid","[{""field"": ""event_type"", ""quote"": """"}, {""field"": ""date"", ""quote"": """"}, {""field"": ""location"", ""quote"": """"}, {""field"": ""actors"", ""quote"": """"}, {""field"": ""outcome"", ""quote"": """"}]","[""parse_failed_local_model_output""]",TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
